"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",659,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",660,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","1999-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",639,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",633,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",646,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",627,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",556,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",588,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",585,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",619,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",640,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",622,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",623,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",579,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2000-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",609,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",571,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",556,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",569,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",574,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",588,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",614,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",622,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",607,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",579,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-10","BLS_QCEW","https://www.bls.gov/qcew/","","","",564,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-11","BLS_QCEW","https://www.bls.gov/qcew/","","","",581,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2001-12","BLS_QCEW","https://www.bls.gov/qcew/","","","",558,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-01","BLS_QCEW","https://www.bls.gov/qcew/","","","",537,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-02","BLS_QCEW","https://www.bls.gov/qcew/","","","",530,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-03","BLS_QCEW","https://www.bls.gov/qcew/","","","",523,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-04","BLS_QCEW","https://www.bls.gov/qcew/","","","",557,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-05","BLS_QCEW","https://www.bls.gov/qcew/","","","",548,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-06","BLS_QCEW","https://www.bls.gov/qcew/","","","",560,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-07","BLS_QCEW","https://www.bls.gov/qcew/","","","",538,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-08","BLS_QCEW","https://www.bls.gov/qcew/","","","",577,"Population of Person: Fishing (NAICS/1141)"
"geoId/12","US-FL","Florida","dc/k8ye73phgn8f8","2002-09","BLS_QCEW","https://www.bls.gov/qcew/","","","",569,"Population of Person: Fishing (NAICS/1141)"
